article_id;full_name;sex;birth_year;city;state;country;continent;latitude;longitude;occupation;industry;domain;article_languages;page_views;average_views;historical_popularity_index
26035;Rudolf Diesel;Male;1858;Paris;;France;Europe;488.567;23.508;Inventor;Invention;Science & Technology;66;3003248;45504;262.642
44656;Domenico Scarlatti;Male;1685;Naples;;Italy;Europe;40.845;1.425.833;Composer;Music;Arts;52;1977649;38032;262.628
10277;Ennio Morricone;Male;1928;Rome;;Italy;Europe;41.9;12.5;Composer;Music;Arts;54;7516230;139189;262.621
186948;Polykleitos;Male;-500;Argos;;Greece;Europe;3.761.667;2.271.667;Sculptor;Fine Arts;Arts;31;1205874;38899;262.605
315859;Bathsheba;Female;-3500;Other;;Unknown;Unknown;;;Companion;Companions;Public Figure;30;2403788;80126;262.581
23292229;Akihito;Male;1933;Tokyo;;Japan;Asia;3.568.333;13.968.333;Nobleman;Government;Institutions;77;11188348;145303;262.567
62558;Merowig;Male;400;Other;;Unknown;Unknown;;;Politician;Government;Institutions;36;868555;24127;262.561
56455;Antonio Stradivari;Male;1644;Cremona;;Italy;Europe;4.513.333;1.003.333;Designer;Design;Arts;44;4059704;92266;262.561
50122;Yuri Andropov;Male;1914;Stavropol;;Russia;Europe;;;Politician;Government;Institutions;68;3687803;54232;262.527
84554;Seleucus I Nicator;Male;-358;Orestis (region);;Greece;Europe;;;Military Personnel;Military;Institutions;43;1094069;25443;262.523
53703;Wilhelm Keitel;Male;1882;Brunswick;;Germany;Europe;5.187.194;1.002.528;Military Personnel;Military;Institutions;50;4642013;92840;262.496
14227;Elagabalus;Male;203;Rome;;Italy;Europe;41.9;12.5;Politician;Government;Institutions;54;2579715;47773;262.491
